title,tanggal,waktu,content
Prabowo: Perdagangan dan Keuangan Kini Jadi Senjata di Politik Dunia,09 September 2025,07:18 WIB,"JAKARTA– Presiden Prabowo Subianto menyoroti bahwa saat ini perdagangan dan keuangan global dimainkan sebagai senjata politik di dunia. Hal tersebut disampaikan Prabowo saat menghadiri BRICS Leaders Virtual Meeting. “Dalam dunia dengan ketidakpastian ini, ada juga double dan bahkan triple standard, di mana hukum internasional setiap hari diabaikan. Negara kecil yang kurang berkuasa terintimidasi, di mana perdagangan dan keuangan menjadi senjata. Kami menganggap saatnya BRICS terus berkembang,” ujar Prabowo. Lebih lanjut, Prabowo mendukung langkah-langkah yang diambil BRICS dalam memperkuat kerja sama multilateral. “Kami mendukung inisiatif-inisiatif yang diambil, kami menghormati kepemimpinan Presiden Lula, dan Indonesia berkomitmen untuk bekerja lebih dekat dengan semua negara BRICS,” katanya. Dalam kesempatan yang sama, Prabowo juga mengatakan bahwa hadirnya BRICS menjadi pilar kuat dalam tatanan ekonomi global."
"Perdana Menteri Francois Bayrou Dilengserkan, Perparah Krisis Politik Prancis",09 September 2025,06:19 WIB,"JAKARTA– ParlemenPrancisresmi melengserkan Perdana Menteri Francois Bayrou beserta pemerintahannya akibat rencana pengendalian utang nasional yang menumpuk. Dalam pemungutan suara, Bayrou kehilangan dukungan dengan hasil 364 suara menentang dan 194 suara mendukung. Keputusan ini semakin memperdalam krisis politik di Prancis. Lengsernya Bayrou memaksa Presiden Emmanuel Macron mencari perdana menteri baru. Jika terpilih, sosok itu akan menjadi perdana menteri kelima dalam kurun waktu kurang dari dua tahun. Macron kini menghadapi desakan oposisi untuk membubarkan parlemen sekaligus mengundurkan diri. Tugas paling mendesak pemerintahan pengganti Bayrou adalah mengesahkan anggaran serta mendapatkan dukungan dari parlemen yang terbelah. “Anda memiliki kekuatan untuk menjatuhkan pemerintah, tetapi Anda tidak memiliki kekuatan untuk menghapus realitas,” ujar Bayrou kepada anggota parlemen sebelum kalah dalam mosi tidak percaya. “Realitas akan tetap tak tertahankan: pengeluaran akan terus meningkat, dan beban utang yang sudah berat akan semakin mahal,” tambahnya, sebagaimana dikutip dariReuters. Menurut kantor perdana menteri, Bayrou akan mengajukan pengunduran dirinya pada Selasa (9/9/2025). Ia sebelumnya menyerukan mosi tidak percaya untuk mencoba mendapatkan dukungan parlemen bagi strateginya menurunkan defisit yang hampir dua kali lipat dari pagu 3% Uni Eropa, serta mulai mengatasi tumpukan utang setara 114% PDB. "
"Krisis Politik Thailand Imbas Rekaman Telepon Bocor, Parlemen Pilih PM Baru",05 September 2025,11:15 WIB,"BANGKOK- Krisis politik tengah melandaThailanddalam beberapa hari terakhir setelah rekaman telepon Perdana Menteri Paetongtarn Shinawatra dengan PM Kamboja Hun Sen bocor. Imbas hal tersebut, Mahkamah Konstitusi (MK) Thailand memutuskan memecat Paetongtarn dari jabatan PM karena dianggap tidak menjaga harga diri bangsa. Saat ini parlemen akan memilih PM baru pada Jumat (5/9/2025). Di tengah kekacauan ini, miliarder yang terpolarisasi, Thaksin Shinawatra, berangkat dengan jet pribadinya ke Dubai pada Kamis malam. Politikus paling berpengaruh di Thailand tersebut meninggalkan partai berkuasa keluarganya, Pheu Thai, yang sedang kacau. Melansir Reuters, Jumat (5/9/2025), pelarian Thaksin dari Thailand terjadi hanya beberapa hari menjelang putusan pengadilan minggu depan yang dapat memenjarakannya. Kepergian Thaksin, kekuatan pendorong di balik Pheu Thai, terjadi 6 hari setelah pengadilan memecat putrinya, Paetongtarn Shinawatra, sebagai PM karena pelanggaran etika. Diketahui, rekaman telepon Paetongtarn dengan PM Kamboja Hun Sen bocor ke publik. Publik Thailand marah karena ia meremehkan militer Thailand saat berusaha mencari solusi untuk masalah di perbatasan. Paetongtarn telah meminta maaf atas pernyataan itu. Ia berdalih ucapan itu murni teknik negosiasi. Pemecatan Paetongtarn memicu perebutan kekuasaan dan serangan berani oleh partai pembangkang untuk membentuk pemerintahannya sendiri. Pheu Thai, yang memenangkan lima dari enam pemilu terakhir, telah berjuang mati-matian untuk menggagalkan tantangan mantan mitra aliansinya, Bhumjaithai. Bhumjaithai telah meraih dukungan dari kekuatan terbesar di parlemen dengan janji untuk mengadakan pemilu baru dalam waktu empat bulan. Kekacauan ini telah menempatkan pemimpin Bhumjaithai, Anutin Charnvirakul, di posisi terdepan menjelang pemungutan suara hari Jumat. Ia membutuhkan dukungan lebih dari separuh anggota majelis rendah untuk menjadi perdana menteri. Koalisinya memiliki 146 anggota parlemen, dan dengan Partai Rakyat memilih untuk tetap menjadi oposisi tetapi menjamin 143 suara, Anutin dapat dengan mudah melewati ambang batas yang dipersyaratkan, yaitu 247 suara. "
Partai Perindo Respons Cepat 17+8 Tuntutan Rakyat: Wujudkan #IndonesiaBerbenah & Bangun Budaya Politik Baru,03 September 2025,20:45 WIB,"JAKARTA- Partai Perindo merespons cepat 17+8 tuntutan rakyat yang berhimpun di koalisi masyarakat sipil menjelang batas waktu pada 5 September 2025. Partai Perindo menyatakan komitmennya untuk berbenah, mendorong perbaikan di daerah, dan mendukung aspirasi masyarakat. “Merespons 17+8 tuntutan rakyat, kami mengucapkan terima kasih kepada jaringan koalisi masyarakat sipil atas aspirasinya. Semoga kita bisa wujudkan #IndonesiaBerbenah dan membangun budaya politik baru di Indonesia,” tulis Partai Perindo lewat akun resmi Instagram @partaiperindo, dikutip Rabu (3/9/2025). Sebelum deadline tuntutan pada 5 September 2025, Partai Perindo melaporkan langkah konkret yang sudah dan bisa dikerjakan untuk bersama-sama mewujudkan #IndonesiaBerbenah dari 17+8 Tuntutan Rakyat. “Dari beberapa tuntutan yang ada, kami mengupayakan untuk bisa berbenah dari internal partai serta mendorong perbaikan di daerah.” Bahkan, Partai Perindo juga sudah mengambil sejumlah langkah konkret, diantaranya mengeluarkan Surat Edaran Nomor 12/PI/SE/SE/DPP-PARTAI PERINDO/VIII/2025 yang menginstruksikan kader untuk berempati dan tidak memicu kemarahan publik. Surat edaran itu ditandatangani langsung oleh Ketua Umum DPP Partai Perindo Angela Herliani Tanoesoedibjo dan Plt. Sekjen DPP Partai Perindo Andi Muhammad Yuslim Patawari. Masyarakat juga diminta melapor jika menemukan kader yang bersikap tidak etis, melalui email resmi partai. “Laporkan pada kami jika ditemukan kader Perindo yang memicu kemarahan publik, khususnya selama periode unjuk rasa ini:[email protected],” dalam keterangan tertulisnya. Selain itu, Partai berlambang rajawali mengembangkan sayap ini juga berkomitmen untuk berpihak pada rakyat di tengah krisis. “Kami telah mengumpulkan kader-kader kami, menyosialisasikan arahan untuk selalu berpihak pada masyarakat dan peka terhadap kondisi terkini.”"
"Sering Ditawari Masuk Politik, Aurelie Moeremans: Aku Jadi Kayak Boneka Doang",02 September 2025,06:59 WIB," JAKARTA- Aktris Aurelie Moeremans rupanya pernah ditawari beberapa kali untuk terjun ke dunia politik. Namun, tak ada satupun tawaran itu yang ia terima hingga sekarang. Hal ini disampaikan Aurelie melalui Instagram setelah aksi demo belakangan kian memanas. ""Melihat berita yang sekarang tuh bikin aku bersyukur banget selalu tolak-tolakin setiap aku ditawarin masuk partai atau politik apapun,"" kata Aurelie Moeremans dikutip dari instagram @aurelie, Senin (1/9/2025). Aurelie mengatakan tawaran pertama datang pada 2016 lalu. Awalnya, ia mengaku diajak oleh salah satu aktris senior yang tak disebutkan namanya untuk sekadar ngopi bareng. Namun, ia langsung menaruh rasa curiga kepada orang tersebut, mengingat hubunga mereka selama ini tak begitu dekat."
"Perkuat Struktur dan Strategi Menangkan Pemilu 2029, Perindo NTT Safari Politik ke Sumba Barat",28 Agustus 2025,18:23 WIB,"SUMBA BARAT–Partai Perindomemantapkan langkah politik di Pulau Sumba, Nusa Tenggara Timur (NTT) dengan menggelar pendidikan politik dan temu kader di Kabupaten Sumba Barat, di Hotel Pelita, Jalan Ahmad Yani, Waikabubak. Agenda ini merupakan bagian dari safari politik DPW Perindo NTT untuk memperkuat struktur organisasi partai di Pulau Sumba. Langkah ini menjadi salah satu upaya strategis dalam meningkatkan kesiapan menghadapi pemilu mendatang, serta menyampaikan program transformasi Partai yang dikenal dengan Partai Kita ini kepada seluruh pengurus, kader, dan anggota legislatif di wilayah tersebut. Plt Ketua DPD Partai Perindo Sumba Barat, Melkianus Rohy, bersama jajaran pengurus menyambut baik kehadiran DPW dalam agenda konsolidasi ini. Turut hadir Wakil Ketua DPRD Kabupaten Sumba Barat sekaligus Sekretaris DPD Perindo, Dancerinus Arifin Saingo, serta anggota DPRD Antonius RP Limu Nono dan Daud Eda Bora. Dancerinus menegaskan, pengurus DPD Perindo Sumba Barat mendukung penuh langkah DPW untuk memperkuat basis partai. Ia menilai kunjungan ini memberikan semangat baru bagi para kader agar semakin solid dan siap menghadapi dinamika politik ke depan. “Kami berharap kepengurusan DPD Perindo Sumba Barat segera dibentuk secara definitif agar mesin partai dapat terorganisir dari tingkat DPD, DPC, hingga DPRt,” ujar Dancerinus, Kamis (28/5/2025). Ia juga menekankan pentingnya kontrol sistem kerja partai agar lebih efektif dan terkoordinasi dengan baik oleh DPW Perindo NTT. Menurut Dancerinus, penguatan struktur organisasi merupakan kunci untuk menjawab berbagai tantangan politik di masa mendatang. Konsolidasi internal juga menjadi langkah penting untuk menjaga soliditas partai hingga ke akar rumput. Ia menyampaikan apresiasi atas kerja nyata DPWPerindoNTT dalam melakukan safari politik. Menurutnya, program ini tidak hanya memberikan penguatan, tetapi juga memotivasi seluruh kader agar lebih bersinergi dalam mempersiapkan agenda besar partai. "
Pergeseran Kekuasaan di Madiun: Dinamika Politik Pasca Perjanjian Giyanti,18 Agustus 2025,08:45 WIB," PERJANJIANGiyanti membawa perubahan besar bagi kehidupan di Pulau Jawa, terutama di bagian tengah selatan. Perjanjian antara VOC Belanda dengan Kerajaan Mataram, yang diteken setelah kalah perang, membuat kekuasaan Mataram menjadi terbatas. Beberapa wilayah yang sebelumnya berada di bawah kekuasaan Mataram harus dilepaskan. Di Madiun, perjanjian VOC Belanda dengan Mataram menyebabkan pusat pemerintahan bergeser. Pergeseran ini terjadi dari Istana Wonosari ke Istana Kranggan, bermula dari penunjukan Raden Ronggo Prawirodirjo I sebagai Bupati Madiun oleh Sultan Hamengkubuwono I pada akhir 1750-an. Hal tersebut tidak lepas dari konteks politik Jawa setelah Perang Giyanti dan penetapan perjanjian tersebut, serta masa bertahtanya Sultan Hamengkubuwono I pada 1749–1792. Pada periode awal itu, muncul masalah yang melibatkan Bupati Mangkudipuro dan Bupati Sawoo, yang kini masuk wilayah Ponorogo. Dikutip dari“Banteng Terakhir Kesultanan Yogyakarta: Riwayat Raden Ronggo Prawirodirjo III dari Madiun, sekitar 1779–1810”,masalah itu bermula dari upaya pemboikotan yang dilakukan kedua bupati terhadap kewajiban-kewajiban yang dikenakan oleh VOC. Tindakan kedua bupati tersebut membuat mereka harus berhadapan langsung dengan Sultan Hamengkubuwono I, karena setelah Perjanjian Giyanti, Madiun menjadi bagian dari wilayah Kesultanan Yogyakarta. Memang, wilayah kukuban ing sak wetane Gunung Lawu—atau wilayah tertutup di sebelah timur Gunung Lawu—dari masa ke masa selalu menjadi momok bagi para penguasa keraton Jawa tengah-selatan. "
"Ketua DPD di HUT Ke-80 RI: Asta Cita Bukan Sekadar Janji Politik, Ini Spektrum Pemerataan!",17 Agustus 2025,23:29 WIB," JAKARTA– Ketua Dewan Perwakilan Daerah (DPD) RI, Sultan Baktiar Najamudin menekankan, bahwa Asta Cita yang digaung-gaungkan bukan hanya sekadar janji politik, tetapi spektrum pemerataan yang harus diimplementasikan hingga ke level bawah. ""Asta Cita bukan sekadar janji politik, ini spektrum pemerataan dari pangan, energi bersih, pendidikan, kesehatan, maritim hingga konektivitas, yang harus kami kawal agar benar-benar berjalan di lapangan,"" kata Sultan, Minggu (17/8/2025). Sultan menegaskan, DPD berperan sebagai pengawas dan pengawal agar janji-janji tersebut terwujud. Menurutnya, HUT ke-80 RI harus dijadikan momentum untuk mempertegas makna kemerdekaan yang sesungguhnya, bukan hanya sekadar lepas dari penjajahan. ""Kemerdekaan sejati baru terasa ketika seluruh lapisan masyarakat, termasuk warga di daerah 3T, merasakan pemerataan ekonomi, akses kesehatan, dan infrastruktur yang layak,"" kata Sultan. Sultan menyoroti bahwa kebebasan politik tidak cukup bila tidak diikuti oleh keadilan sosial dan keberlanjutan lingkungan. Ia mencontohkan semangat dari gagasan demokrasi hijau yang termuat dalam bukunya berjudul Green Policing. ""Demokrasi kita harus lebih substansial: tidak hanya prosedural, melainkan berpihak pada daerah, ekologi, dan generasi mendatang,"" kata Sultan. "
"Puan Minta Izin Prabowo, DPR Bisa Menegur Politik Menteri Berkinerja Buruk",15 Agustus 2025,15:55 WIB,"JAKARTA– Ketua DPR RI, Puan Maharani, secara langsung meminta izin kepada Presiden Prabowo Subianto agar lembaganya dapat memberikan teguran politik secara terbuka kepada para menteri. Teguran politik akan dilayangkan kepada menteri yang kinerjanya buruk dan berpotensi menghambat visi dan misi Presiden. Mulanya, Puan menyampaikan bahwa DPR melalui alat kelengkapan dewan, komisi-komisi, dan badan-badan yang ada, akan menjalankan tugas pengawasan secara konstitusional, objektif, kritis, dan bertanggung jawab. ""Maka, apabila terdapat pembantu Bapak Presiden yang tidak menunjukkan kinerja sebagaimana diharapkan dalam menjalankan visi dan kebijakan Presiden, maka dengan segala hormat, izinkanlah kami untuk menyampaikan teguran politik secara terbuka, konstruktif, konstitusional, tanpa menimbulkan kegaduhan, dan dilandasi saling menghormati dalam rapat-rapat Alat Kelengkapan Dewan (AKD) DPR RI,"" kata Puan dalam pidato pembukaan masa sidang di Kompleks Parlemen, Senayan, Jakarta, Jumat (15/8/2025). Menurut dia, hal ini penting agar visi dan misi Presiden dalam Asta Cita dapat terlaksana dengan baik dalam mewujudkan kesejahteraan dan keadilan sosial. Hal ini juga, kata Puan, menjadi bagian dari mekanisme checks and balances yang sehat dalam demokrasi, serta bentuk pertanggungjawaban DPR RI kepada rakyat."
"Prabowo Curhat Perjalanan Politik: Ikut Pemilu 5 Kali, Alhamdulillah 4 Kali Kalah",15 Agustus 2025,13:44 WIB," JAKARTA– Presiden Prabowo Subianto menceritakan perjalanan panjangnya sebelum akhirnya terpilih sebagai Presiden ke-8 Republik Indonesia. Dalam pidatonya di Sidang Tahunan MPR RI dan Sidang Bersama DPR-DPD Tahun 2025, Prabowo mengungkapkan bahwa ia telah lima kali mengikuti pemilihan umum, namun empat di antaranya berakhir dengan kekalahan. “Memang ditakdirkan untuk jadi presiden ke-8. Dan saya adalah bukti bahwa demokrasi kita berjalan karena saya ikut pemilu 5 kali. Alhamdulillah 4 kali kalah, tapi hari ini saya berdiri di depan majelis ini,” kata Prabowo di Kompleks Parlemen, Senayan, Jakarta, Jumat (15/8/2025). Prabowo menyebut momen ini sebagai tanda bahwa demokrasi Indonesia terus berkembang dan kuat. Ia juga mengajak seluruh elemen bangsa untuk bersatu, bergotong royong, dan bekerja sama demi mewujudkan kesejahteraan rakyat. “Rakyat harus sejahtera. Kalau rakyat tidak sejahtera, saya katakan kita gagal sebagai negara merdeka. Kita akan berhasil kalau rakyat kita sejahtera. Karena itu marilah kita bekerja sama, berbeda-beda boleh, tapi satu tujuan kita,” tegasnya. "
"Cita-Cita Jadi Dokter, Putri Zulhas Ungkap Alasan Terjun ke Dunia Politik",14 Agustus 2025,11:54 WIB,"JAKARTA- Isu keterwakilan perempuan dalam ranahpolitikmasih menjadi pembahasan penting di Indonesia. Meskipun setiap periode parlemen menetapkan kuota minimal 30 persen, angka tersebut kerap kali belum terpenuhi secara maksimal. Di tengah tantangan ini, Putri Zulhas, seorang politisi perempuan yang memiliki rekam jejak sebagai pengusaha, membagikan kisahnya tentang motivasi di balik keputusannya terjun ke dunia politik praktis dalam Podcast Herspective Channel YouTube Okezone, Selasa (13/8/2025). Putri menceritakan, perjalanan hidupnya tidak pernah mengarah ke politik. Awalnya, ia memiliki cita-cita mulia untuk menjadi seorang dokter. ""Awal cita-citanya sebenarnya mau jadi dokter,"" ujarnya. Cita-cita itu muncul dari keinginan mengabdi dan membantu banyak orang, yang menurutnya merupakan salah satu profesi sangat mulia. Namun, jalan takdir membawanya ke jalur berbeda. Ia menempuh pendidikan di bidang bisnis yang kemudian ia tekuni selama 10 tahun. Di dunia usaha, Putri tetap membawa misi sosialnya. Ia merasa bahwa dengan memiliki usaha, dirinya dapat menciptakan lapangan kerja dan memberikan manfaat lebih luas bagi banyak orang. Setelah satu dekade berkecimpung di dunia bisnis, pada 2024 ia memutuskan untuk terjun ke dunia politik. ""Jujur, sama sekali enggak disuruh keluarga,"" katanya. Ia menjelaskan bahwa di keluarganya, setiap anak memiliki profesi berbeda-beda dan sangat demokratis. Panggilan itu justru muncul dari pengalamannya sebagai pengusaha. Dengan 90 persen karyawannya adalah perempuan, ia menjadi sangat memahami berbagai dinamika dan permasalahan yang dihadapi kaum perempuan. Dari situlah ia merasa ada isu-isu yang harus diperjuangkan dan disuarakan. ""Aku paham banget, banyak yang suka cerita, curhat perempuan dengan segala dinamikanya... ini kayaknya harus diperjuangkan dan harus ada yang menyuarakan,"" kutipnya. Melihat data keterwakilan perempuan di parlemen yang belum maksimal, yaitu sekitar 20–22 persen, Putri Zulhas bertekad untuk menjadi teladan. Ia ingin mendorong perempuan-perempuan lain agar mau ikut serta dalam politik praktis dan tidak menjadi apatis. Ia menyadari bahwa banyak stigma yang membuat perempuan ragu, seperti pandangan bahwa politik itu keras, kejam, dan merupakan dunia yang sangat maskulin. "
Putri Zulhas Ungkap Alasan Masuk Politik: Murni Panggilan Hati,13 Agustus 2025,11:24 WIB,"JAKARTA– Tak pernah membayangkan akan duduk di kursi parlemen,Putri Zulkifli Hasanatau biasa dijkenal sebagai Putri Zulfas justru kini menjadi salah satu wajah baru politik Indonesia. Anak sulung Ketua Umum PAN itu membuktikan bahwa panggilan hati bisa mengalahkan garis takdir yang seolah sudah digariskan keluarga. Putri Zulkifli Hasan Merupakan Perempuan kelahiran Jakarta pada 13 Mei 1988, kini menjabat sebagai anggota DPR RI periode 2024–2029. Putri merupakan anak sulung dari Ketua Umum Partai Amanat Nasional (PAN), Zulkifli Hasan. Meski berasal dari keluarga politisi, ia menegaskan bahwa keputusannya terjun ke dunia politik bukan karena dorongan keluarga, melainkan murni panggilan hati. “Awalnya aku sama sekali nggak terbayang akan masuk politik. Cita-citaku dulu mau jadi dokter,” ujar Putri dalam perbincangan Bersama Okezone.  Namun, perjalanan hidup membawanya ke jalur yang berbeda. Putri menempuh pendidikan S1 Manajemen di Institut Teknologi Bandung (ITB) dan melanjutkan S2 di College of Business and Economics, Australian National University. Setelah lulus, ia memutuskan membangun usaha sendiri di bidang yang banyak melibatkan perempuan. “Sejak kecil aku diajarkan untuk bermanfaat bagi banyak orang. Kalau punya usaha, aku bisa menciptakan lapangan kerja dan membantu orang lebih banyak,” ungkapnya. Selama kurang lebih 10 tahun berbisnis, Putri kerap mendengar cerita dan keluhan para karyawan yang mayoritas Perempuan tentang berbagai permasalahan yang mereka hadapi. Dari situ, ia merasa isu-isu tersebut perlu diperjuangkan dan disuarakan di ruang yang lebih luas. Pada tahun 2024, ia pun memutuskan terjun ke politik dengan harapan dapat menjadi contoh dan inspirasi bagi perempuan lain agar berani terlibat dalam politik praktis dan tidak apatis. "
"Fero Walandouw Ngaku Bakal Fokus di Dunia Bisnis dan Politik, Vakum dari Dunia Hiburan?",12 Agustus 2025,13:35 WIB," Aktor kenamaan, Fero Walandouw membuat pernyataan mengejutkan bahwa dirinya bakal fokus di dunia bisnis dan politik. Jawaban itu menegaskan bahwa aktor sinetron Beningnya Cinta itu bakal vakum dari dunia entertainment. ""Untuk sementara saya fokus dulu ke dunia Bisnis dan Politik,"" kata Fero saat usai didapuk jadi Komisaris PT CPL, di Jakarta, Selasa (12/8/2025). Saat ditanya tugas barunya sebagai komisaris, Fero menegaskan bahwa dirinya bakal fokus untuk menjalankan bisnis di bidang manufaktur otomotif. ""Seperti yang kita semua ketahui tugas dari Komisaris Independen adalah sebagai pengawas operasional perusahaan, dan memastikan kepentingan pemegang saham minoritas terlindungi dan diperhatikan,"" katanya."
"Kasus Korupsi CSR BI, KPK Telusuri Aliran Dana ke Partai Politik",08 Agustus 2025,11:19 WIB," JAKARTA- Komisi Pemberantasan Korupsi (KPK) menetapkan dua anggota DPR RI sebagai tersangka, kasus dugaan korupsi dana CSR BI. Lembaga Antirasuah pun menyatakan akan menelusuri dugaan aliran dana tersebut, termasuk ke partai politik. ""Apakah diperintahkan oleh partai politiknya? Kemudian apakah juga ini disetor dan lain-lain? Itu yang sampai saat ini, ini kan baru titik awal ya, titik awal kita akan memperdalam dalam penanganan perkara ini,"" kata Plt. Deputi Penindakan dan Eksekusi KPK, Asep Guntur Rahayu, Jumat (8/8/2025). ""Ini nanti akan kita sampaikan, akan kita gali juga ke arah sana gitu ya,"" sambungnya. Asep melanjutkan, dalam perkara tersebut dikenakan pasal tindak pidana pencucian uang (TPPU). Sehingga kata Asep, akan ditelusuri aliran uang tersebut. ""Kemana aliran uang itu bergerak, kita akan selusuri ke tempat-tempat misalkan pribadi, private, dibelikan untuk aset pribadi, ya kita akan cari dan kita akan sita,"" ujarnya. Sebelumnya, Komisi Pemberantasan Korupsi ( KPK ) menetapkan dua tersangka kasus dugaan korupsi terkait pengelolaan dana bantuan sosial Bank Indonesia (BI) dan Otoritas Jasa Keuangan (OJK). Dua tersangka itu yakni, Heri Gunawan (HG) dan Satori (ST), anggota Komisi XI DPR RI periode 2019-2024. "
"Beri Ruang Partisipasi Generasi Muda di Politik, Partai Perindo Gelar Political Development Program",04 Agustus 2025,17:55 WIB,"JAKARTA- Partai Perindo menunjukkan dukungan penuh terhadap keterlibatan generasi muda dalam politik di Indonesia melalui kesempatan magang bertajuk Political Development Program (PDP). Aktivitas positif yang sedang berjalan ini berangkat dari pemahaman pentingnya melibatkan anak muda, dan mempersiapkan mereka menjadi generasi pemimpin yang inovatif, kritis dan memiliki integritas tinggi. Partai yang dipimpin Angela Tanoesoedibjo ini menyusun program magang PDP untuk menawarkan kesempatan yang sama kepada semua anak muda dalam mendapatkan pengalaman langsung di dunia politik, serta berkontribusi secara nyata terhadap pengembangan bangsa. “Partai Perindo terbukti dan teruji memberikan ruang untuk anak muda, tidak hanya para peserta program magang PDP, bahkan di level pimpinan Ketua DPP, Waketum, Bendum, Sekjen, dan Ketum Perindo banyak diisi anak muda,” ujar Ketua Bidang Kaderisasi DPP Partai Perindo, Juang Akbar di Jakarta, beberapa waktu lalu. Dia juga menyebutkan bahwa dalam pelaksanaannya, dari batch 1 sampai batch 2, terdapat 1.000 total pendaftar, menandakan Perindo yang dikenal sebagai Partai Kita sangat diminati oleh kalangan muda. Adapun PDP batch 2 yang dimulai dari Mei 2025 hingga Agustus 2025 ini telah diisi oleh anak muda dari berbagai universitas di penjuru negeri. Sekarang, terdapat 20 posisi di berbagai bidang yang terisi oleh peserta PDP di level Dewan Pimpinan Pusat Partai Perindo. Juang menambahkan, para peserta kini rutin melaksanakan kegiatan harian yang bersifat dinamis untuk memaksimalkan kesempatan belajar. Mereka tetap fokus dengan melakukan ragam pekerjaan sehingga masih sejalur dengan posisi dan bidang yang mereka emban. Beberapa bidang yang diisi oleh peserta PDP antara lain, bidang Monitoring dan Evaluasi, Kaderisasi, Kesehatan Masyarakat, Pengentasan Kemiskinan, Media, dan bidang-bidang lain yang diperhitungkan sesuai diisi oleh generasi muda. Seperti diungkapkan Peserta PDP batch 2 di bidang Monitoring dan Evaluasi, Humam Thory. “Saya dan beberapa peserta PDP berkesempatan menjalin komunikasi dengan pihak terkait seperti anggota legislatif Partai Perindo di daerah, dan pengurus DPW untuk berdialog tentang situasi di wilayah,” ujarnya. "
"Kongres VI PDIP Ditutup Hari Ini, Megawati Akan Sampaikan Pidato Politik",02 Agustus 2025,12:59 WIB," JAKARTA– Ketua Umum PDI Perjuangan, Megawati Soekarnoputri, tiba di Bali Nusa Dua Convention Center (BNDCC) pada Sabtu (2/8/2025), untuk menghadiri acara penutupan Kongres ke-VI PDI Perjuangan. Berdasarkan pantauanOkezone, mobil yang membawa Megawati tiba di Nusa Dua East Lobby, dan Presiden ke-5 RI itu langsung disambut oleh sejumlah elite partai, termasuk Eriko Sotarduga dan Ronny Talapessy. Megawati terlihat mengenakan gaun batik merah, dan turut didampingi oleh kedua anaknya, yakni M. Prananda Prabowo dan Puan Maharani. Saat turun dari kendaraan, Megawati sempat melempar senyum dan melambaikan tangan ke arah awak media yang telah menunggu di depan lobi. Hal yang sama juga dilakukan Puan Maharani, yang turut menyapa awak media dengan senyum dan lambaian tangan. "
"Amnesti untuk Hasto, Ganjar: Menjadi Momentum Penegakan Hukum Tanpa Intervensi Politik",01 Agustus 2025,10:43 WIB,"JAKARTA- Ketua DPP PDI Perjuangan, Ganjar Pranowo, merespons langkah Presiden Prabowo Subianto yang memberi amnesti untuk Sekjen PDI Perjuangan, Hasto Kristiyanto. Pemberian amnesti itu bisa menjadi momentum penegakan hukum yang adil tanpa intervensi politik. ""Ini bisa jadi momentum penegakan hukum yang fair tanpa intervensi politik,"" ujar Ganjar saat dihubungi melalui pesan singkat, Jumat (1/8/2025). Selain itu, Ganjar juga turut mengucapkan terima kasih kepada Presiden Prabowo yang telah memberi amnesti kepada Hasto. Mantan Gubernur Jawa Tengah ini menjelaskan, pemberian amnesti dan abolisi merupakan hak prerogatif Presiden Prabowo. Pemberian ""pengampunan"" itu memperhatikan kesepakatan DPR. ""Pemberian amnesti dan abolisi adalah hak prerogatif Presiden dengan memperhatikan pertimbangan DPR. Itu saja. Tak lebih, tak kurang,"" ujar Ganjar."
Mahfud MD: Amnesti Hasto dan Abolisi Tom Buktikan Hukum Tak Boleh Jadi Alat Politik,01 Agustus 2025,00:59 WIB,"JAKARTA- Pakar hukum tata negara, Mahfud MD, mengomentari pemberian amnesti kepada Hasto Kristiyanto dan abolisi kepada Tom Lembong. Ia menilai, pemberian amnesti dan abolisi yang diusulkan Presiden dan disetujui DPR menjadi bukti bahwa hukum tidak boleh dijadikan alat politik. “Jeritan hati nurani masyarakat agar hukum tidak dijadikan alat politik—agar hukum ditegakkan sebagai hukum, bukan karena pesanan politik—sekarang memberi harapan baru kepada kita bahwa hukum akan mulai ditegakkan,” kata Mahfud dalam kanal YouTube Mahfud MD Official, Kamis (31/07/2025). Menurut Mahfud, jeritan hati masyarakat, opini publik, dan public common sense yang menyebut bahwa kasus yang menimpa Hasto Kristiyanto dan Tom Lembong sarat nuansa politik ternyata benar. Hal itu dibuktikan dengan pemberian amnesti kepada Hasto dan abolisi kepada Tom Lembong. “Saudara Hasto Kristiyanto dan Saudara Tom Lembong, yang keduanya telah dijatuhi hukuman penjara oleh Pengadilan Negeri, sekarang mendapat amnesti dan abolisi. Artinya, keduanya nanti harus dibebaskan,” ujarnya. "
